Year,State,District,GDP,GDPKC
2004,Bihar,Siwan,1600.65,1.60065
1999,Bihar,Supaul,792.83,0.79283
2000,Bihar,Supaul,809.12,0.80912
2001,Bihar,Supaul,914.65,0.91465
2002,Bihar,Supaul,1034.21,1.03421
2003,Bihar,Supaul,969.59,0.96959
2004,Bihar,Supaul,1111.06,1.11106
1999,Bihar,Vaishali,1382.58,1.38258
2000,Bihar,Vaishali,1456.25,1.45625
2001,Bihar,Vaishali,1395.52,1.39552
2002,Bihar,Vaishali,1769.52,1.76952
2003,Bihar,Vaishali,1580.36,1.58036
2004,Bihar,Vaishali,1918.33,1.91833
1999,Chattisgarh,Baster,1166.66,1.16666
2000,Chattisgarh,Baster,1040.94,1.04094
2001,Chattisgarh,Baster,1387.03,1.38703
2002,Chattisgarh,Baster,1409.83,1.40983
2003,Chattisgarh,Baster,1873.24,1.87324
2004,Chattisgarh,Baster,1948.67,1.94867
2005,Chattisgarh,Baster,2412.36,2.41236
2006,Chattisgarh,Baster,2668.01,2.66801
1999,Chattisgarh,Bilaspur,2379.56,2.37956
2000,Chattisgarh,Bilaspur,2238.31,2.23831
2001,Chattisgarh,Bilaspur,2624.78,2.62478
2002,Chattisgarh,Bilaspur,2767.78,2.76778
2003,Chattisgarh,Bilaspur,3357.55,3.35755
2004,Chattisgarh,Bilaspur,3848.17,3.84817
2005,Chattisgarh,Bilaspur,4732.62,4.73262
2006,Chattisgarh,Bilaspur,5605.11,5.60511
1999,Chattisgarh,Damtari,748.12,0.74812
2000,Chattisgarh,Damtari,698.69,0.69869
2001,Chattisgarh,Damtari,857.06,0.85706
2002,Chattisgarh,Damtari,891.21,0.89121
2003,Chattisgarh,Damtari,1145.52,1.14552
2004,Chattisgarh,Damtari,1317.7,1.3177
2005,Chattisgarh,Damtari,1621.99,1.62199
2006,Chattisgarh,Damtari,1945.79,1.94579
1999,Chattisgarh,Dantewara,851.55,0.85155
2000,Chattisgarh,Dantewara,816.82,0.81682
2001,Chattisgarh,Dantewara,1114.11,1.11411
2002,Chattisgarh,Dantewara,1190.34,1.19034
2003,Chattisgarh,Dantewara,1432.53,1.43253
2004,Chattisgarh,Dantewara,1928.66,1.92866
2005,Chattisgarh,Dantewara,2315.54,2.31554
2006,Chattisgarh,Dantewara,2297.05,2.29705
1999,Chattisgarh,Durg,3981.5,3.9815
2000,Chattisgarh,Durg,3758.36,3.75836
2001,Chattisgarh,Durg,4174.75,4.17475
2002,Chattisgarh,Durg,4630.25,4.63025
2003,Chattisgarh,Durg,5778.85,5.77885
2004,Chattisgarh,Durg,6665.36,6.66536
2005,Chattisgarh,Durg,8440.72,8.44072
2006,Chattisgarh,Durg,10509.75,10.50975
1999,Chattisgarh,Janjgir.Champa,1151.22,1.15122
2000,Chattisgarh,Janjgir.Champa,1066.72,1.06672
2001,Chattisgarh,Janjgir.Champa,1302.76,1.30276
2002,Chattisgarh,Janjgir.Champa,1346.42,1.34642
2003,Chattisgarh,Janjgir.Champa,1614.57,1.61457
2004,Chattisgarh,Janjgir.Champa,1886.09,1.88609
2005,Chattisgarh,Janjgir.Champa,2395.65,2.39565
2006,Chattisgarh,Janjgir.Champa,2892.96,2.89296
1999,Chattisgarh,Jashpur,740.52,0.74052
2000,Chattisgarh,Jashpur,662.33,0.66233
2001,Chattisgarh,Jashpur,778.86,0.77886
2002,Chattisgarh,Jashpur,813.67,0.81367
2003,Chattisgarh,Jashpur,1046.85,1.04685
2004,Chattisgarh,Jashpur,1155.64,1.15564
2005,Chattisgarh,Jashpur,1150.71,1.15071
2006,Chattisgarh,Jashpur,1536.21,1.53621
1999,Chattisgarh,Kanker,605.55,0.60555
2000,Chattisgarh,Kanker,531.97,0.53197
2001,Chattisgarh,Kanker,671.32,0.67132
2002,Chattisgarh,Kanker,654.82,0.65482
2003,Chattisgarh,Kanker,954.47,0.95447
2004,Chattisgarh,Kanker,1003.18,1.00318
2005,Chattisgarh,Kanker,1211.13,1.21113
2006,Chattisgarh,Kanker,1438.84,1.43884
1999,Chattisgarh,Kawardha,501.78,0.50178
2000,Chattisgarh,Kawardha,429.07,0.42907
2001,Chattisgarh,Kawardha,544.88,0.54488
2002,Chattisgarh,Kawardha,565.7,0.5657
2003,Chattisgarh,Kawardha,644.56,0.64456
2004,Chattisgarh,Kawardha,666.76,0.66676
2005,Chattisgarh,Kawardha,845.76,0.84576
2006,Chattisgarh,Kawardha,1006.65,1.00665
1999,Chattisgarh,Korba,4668.65,4.66865
2000,Chattisgarh,Korba,4368.58,4.36858
2001,Chattisgarh,Korba,4323.12,4.32312
2002,Chattisgarh,Korba,5508.28,5.50828
2003,Chattisgarh,Korba,5464.43,5.46443
2004,Chattisgarh,Korba,6437.5,6.4375
2005,Chattisgarh,Korba,7699.17,7.69917
2006,Chattisgarh,Korba,8013.78,8.01378
1999,Chattisgarh,Koriya,896.67,0.89667
2000,Chattisgarh,Koriya,869,0.869
2001,Chattisgarh,Koriya,913.73,0.91373
2002,Chattisgarh,Koriya,1038.83,1.03883
2003,Chattisgarh,Koriya,1142.19,1.14219
2004,Chattisgarh,Koriya,1286.08,1.28608
2005,Chattisgarh,Koriya,965.44,0.96544
2006,Chattisgarh,Koriya,1743.48,1.74348
1999,Chattisgarh,Mahasamund,779.07,0.77907
2000,Chattisgarh,Mahasamund,721.34,0.72134
2001,Chattisgarh,Mahasamund,926.6,0.9266
2002,Chattisgarh,Mahasamund,885.48,0.88548
2003,Chattisgarh,Mahasamund,1205.24,1.20524
2004,Chattisgarh,Mahasamund,1309.93,1.30993
2005,Chattisgarh,Mahasamund,1520.18,1.52018
2006,Chattisgarh,Mahasamund,1794.29,1.79429
1999,Chattisgarh,Raigarh,1264.57,1.26457
2000,Chattisgarh,Raigarh,1326.25,1.32625
2001,Chattisgarh,Raigarh,1541.36,1.54136
2002,Chattisgarh,Raigarh,1661.13,1.66113
2003,Chattisgarh,Raigarh,2059.71,2.05971
2004,Chattisgarh,Raigarh,2450.77,2.45077
2005,Chattisgarh,Raigarh,2404.98,2.40498
2006,Chattisgarh,Raigarh,4129.62,4.12962
1999,Chattisgarh,Raipur,4224.68,4.22468
2000,Chattisgarh,Raipur,4182.62,4.18262
2001,Chattisgarh,Raipur,4804.44,4.80444
2002,Chattisgarh,Raipur,5219.64,5.21964
2003,Chattisgarh,Raipur,6512.95,6.51295
2004,Chattisgarh,Raipur,7862.63,7.86263
2005,Chattisgarh,Raipur,9846.2,9.8462
2006,Chattisgarh,Raipur,11743.5,11.7435
1999,Chattisgarh,Rajnangaon,1456.61,1.45661
2000,Chattisgarh,Rajnangaon,1320.29,1.32029
2001,Chattisgarh,Rajnangaon,1591.83,1.59183
2002,Chattisgarh,Rajnangaon,1644.96,1.64496
2003,Chattisgarh,Rajnangaon,2038.6,2.0386
2004,Chattisgarh,Rajnangaon,2294.35,2.29435
2005,Chattisgarh,Rajnangaon,2908.93,2.90893
2006,Chattisgarh,Rajnangaon,3332.06,3.33206
1999,Chattisgarh,Surguja,1832.01,1.83201
2000,Chattisgarh,Surguja,1814.79,1.81479
2001,Chattisgarh,Surguja,1982.73,1.98273
2002,Chattisgarh,Surguja,2264.32,2.26432
2003,Chattisgarh,Surguja,2530.81,2.53081
2004,Chattisgarh,Surguja,2751.56,2.75156
2005,Chattisgarh,Surguja,2397.61,2.39761
2006,Chattisgarh,Surguja,3584.48,3.58448
1999,Haryana,Ambala,2673.25,2.67325
2000,Haryana,Ambala,3160.24,3.16024
2001,Haryana,Ambala,3730.07,3.73007
2002,Haryana,Ambala,4545.81,4.54581
2003,Haryana,Ambala,4143.24,4.14324
2004,Haryana,Ambala,4868.04,4.86804
2005,Haryana,Ambala,5528.47,5.52847
1999,Haryana,Bhiwani,2496.47,2.49647
2000,Haryana,Bhiwani,2692.85,2.69285
2001,Haryana,Bhiwani,2986.35,2.98635
2002,Haryana,Bhiwani,3220.51,3.22051
2003,Haryana,Bhiwani,3831.99,3.83199
2004,Haryana,Bhiwani,3855.01,3.85501
2005,Haryana,Bhiwani,4369.69,4.36969
1999,Haryana,Faridabad,6120.49,6.12049
2000,Haryana,Faridabad,7461.67,7.46167
2001,Haryana,Faridabad,8733.26,8.73326
2002,Haryana,Faridabad,8466.44,8.46644
2003,Haryana,Faridabad,9610.18,9.61018
2004,Haryana,Faridabad,11442.96,11.44296
2005,Haryana,Faridabad,13128.92,13.12892
1999,Haryana,Fatehabad,1942.31,1.94231
2000,Haryana,Fatehabad,2163.44,2.16344
2001,Haryana,Fatehabad,2073.31,2.07331
2002,Haryana,Fatehabad,2274.57,2.27457
2003,Haryana,Fatehabad,2713.74,2.71374
2004,Haryana,Fatehabad,2841.27,2.84127
2005,Haryana,Fatehabad,2862.06,2.86206
1999,Haryana,Gurgaon,7715.09,7.71509
2000,Haryana,Gurgaon,8514.94,8.51494
2001,Haryana,Gurgaon,10009.44,10.00944
2002,Haryana,Gurgaon,11651.45,11.65145
2003,Haryana,Gurgaon,14700.26,14.70026
2004,Haryana,Gurgaon,17516.46,17.51646
2005,Haryana,Gurgaon,20031.47,20.03147
1999,Haryana,Hisar,3646.78,3.64678
2000,Haryana,Hisar,4154.89,4.15489
2001,Haryana,Hisar,4390.31,4.39031
2002,Haryana,Hisar,4808.83,4.80883
2003,Haryana,Hisar,5810.21,5.81021
2004,Haryana,Hisar,5891.45,5.89145
2005,Haryana,Hisar,6219.92,6.21992
1999,Haryana,Jhajjar,1580.9,1.5809
2000,Haryana,Jhajjar,1874.96,1.87496
2001,Haryana,Jhajjar,2032.98,2.03298
2002,Haryana,Jhajjar,2071.06,2.07106
2003,Haryana,Jhajjar,2601.7,2.6017
2004,Haryana,Jhajjar,2960.62,2.96062
2005,Haryana,Jhajjar,3307.69,3.30769
1999,Haryana,Jind,2383.2,2.3832
2000,Haryana,Jind,2574.15,2.57415
2001,Haryana,Jind,2865.18,2.86518
2002,Haryana,Jind,2922.38,2.92238
2003,Haryana,Jind,3312.73,3.31273
2004,Haryana,Jind,3498.81,3.49881
2005,Haryana,Jind,3697.22,3.69722
1999,Haryana,Kaithal,1803.89,1.80389
2000,Haryana,Kaithal,1968.35,1.96835
2001,Haryana,Kaithal,2257.16,2.25716
2002,Haryana,Kaithal,2579.74,2.57974
2003,Haryana,Kaithal,2542.22,2.54222
2004,Haryana,Kaithal,2920.49,2.92049
2005,Haryana,Kaithal,3256.66,3.25666
1999,Haryana,Karnal,2955.71,2.95571
2000,Haryana,Karnal,3245.84,3.24584
2001,Haryana,Karnal,3654.12,3.65412
2002,Haryana,Karnal,4397.58,4.39758
2003,Haryana,Karnal,4530.86,4.53086
2004,Haryana,Karnal,5279.5,5.2795
2005,Haryana,Karnal,5537.51,5.53751
1999,Haryana,Kurukshetra,1660.63,1.66063
2000,Haryana,Kurukshetra,1826.82,1.82682
2001,Haryana,Kurukshetra,2052.31,2.05231
2002,Haryana,Kurukshetra,2254,2.254
2003,Haryana,Kurukshetra,2516.63,2.51663
2004,Haryana,Kurukshetra,2805.92,2.80592
2005,Haryana,Kurukshetra,2994.05,2.99405
1999,Haryana,Mahindergarh,1119.36,1.11936
2000,Haryana,Mahindergarh,1223.66,1.22366
2001,Haryana,Mahindergarh,1354.42,1.35442
2002,Haryana,Mahindergarh,1384.77,1.38477
2003,Haryana,Mahindergarh,1713.75,1.71375
2004,Haryana,Mahindergarh,2006.81,2.00681
2005,Haryana,Mahindergarh,2138.91,2.13891
1999,Haryana,Panchkula,1243.42,1.24342
2000,Haryana,Panchkula,1346.95,1.34695
2001,Haryana,Panchkula,1461.18,1.46118
2002,Haryana,Panchkula,1766.96,1.76696
2003,Haryana,Panchkula,2088.59,2.08859
2004,Haryana,Panchkula,2439.64,2.43964
2005,Haryana,Panchkula,2741.18,2.74118
1999,Haryana,Panipat,2732.45,2.73245
2000,Haryana,Panipat,3514.21,3.51421
2001,Haryana,Panipat,3877.99,3.87799
2002,Haryana,Panipat,4752.75,4.75275
2003,Haryana,Panipat,5282.96,5.28296
2004,Haryana,Panipat,6185.06,6.18506
2005,Haryana,Panipat,7234.62,7.23462
1999,Haryana,Rewari,1912.48,1.91248
2000,Haryana,Rewari,2134.13,2.13413
2001,Haryana,Rewari,2687.41,2.68741
2002,Haryana,Rewari,2995.05,2.99505
2003,Haryana,Rewari,3204.8,3.2048
2004,Haryana,Rewari,3791.08,3.79108
2005,Haryana,Rewari,4391.02,4.39102
1999,Haryana,Rohtak,1781.4,1.7814
2000,Haryana,Rohtak,2037.77,2.03777
2001,Haryana,Rohtak,2262.32,2.26232
2002,Haryana,Rohtak,2560.03,2.56003
2003,Haryana,Rohtak,2595.27,2.59527
2004,Haryana,Rohtak,3032.87,3.03287
2005,Haryana,Rohtak,3365.1,3.3651
1999,Haryana,Sirsa,2555.44,2.55544
2000,Haryana,Sirsa,2877.46,2.87746
2001,Haryana,Sirsa,2802.93,2.80293
2002,Haryana,Sirsa,3081.77,3.08177
2003,Haryana,Sirsa,3699.21,3.69921
2004,Haryana,Sirsa,3971.85,3.97185
2005,Haryana,Sirsa,4185.52,4.18552
1999,Haryana,Sonipat,2594.76,2.59476
2000,Haryana,Sonipat,2836.39,2.83639
2001,Haryana,Sonipat,3474.24,3.47424
2002,Haryana,Sonipat,3852.2,3.8522
2003,Haryana,Sonipat,4260.76,4.26076
2004,Haryana,Sonipat,4613.49,4.61349
2005,Haryana,Sonipat,5191.69,5.19169
1999,Haryana,Yamuna.Nagar,2359.8,2.3598
2000,Haryana,Yamuna.Nagar,2481.33,2.48133
2001,Haryana,Yamuna.Nagar,2800.28,2.80028
2002,Haryana,Yamuna.Nagar,2957.91,2.95791
2003,Haryana,Yamuna.Nagar,3309.41,3.30941
2004,Haryana,Yamuna.Nagar,3705.86,3.70586
2005,Haryana,Yamuna.Nagar,3998.49,3.99849
1999,Himachal,Bilaspur,838.7,0.8387
2000,Himachal,Bilaspur,902.71,0.90271
2001,Himachal,Bilaspur,969.71,0.96971
2002,Himachal,Bilaspur,1080.27,1.08027
2003,Himachal,Bilaspur,1203.81,1.20381
2004,Himachal,Bilaspur,1323.36,1.32336
2005,Himachal,Bilaspur,1441.99,1.44199
1999,Himachal,Chamba,768.55,0.76855
2000,Himachal,Chamba,840.31,0.84031
2001,Himachal,Chamba,975.45,0.97545
2002,Himachal,Chamba,1020.85,1.02085
2003,Himachal,Chamba,1105.63,1.10563
2004,Himachal,Chamba,1194.49,1.19449
2005,Himachal,Chamba,1304.82,1.30482
1999,Himachal,Hamirpur,974.68,0.97468
2000,Himachal,Hamirpur,1033.64,1.03364
2001,Himachal,Hamirpur,1144.72,1.14472
2002,Himachal,Hamirpur,1298.82,1.29882
2003,Himachal,Hamirpur,1386.92,1.38692
2004,Himachal,Hamirpur,1533.94,1.53394
2005,Himachal,Hamirpur,1631.1,1.6311
1999,Himachal,Kangra,2686.46,2.68646
2000,Himachal,Kangra,2935.68,2.93568
2001,Himachal,Kangra,3304.11,3.30411
2002,Himachal,Kangra,3543.47,3.54347
2003,Himachal,Kangra,3865.98,3.86598
2004,Himachal,Kangra,4268.82,4.26882
2005,Himachal,Kangra,4832.5,4.8325
1999,Himachal,Kinnaur,264.16,0.26416
2000,Himachal,Kinnaur,290.32,0.29032
2001,Himachal,Kinnaur,327.72,0.32772
2002,Himachal,Kinnaur,372.66,0.37266
2003,Himachal,Kinnaur,413.08,0.41308
2004,Himachal,Kinnaur,477.05,0.47705
2005,Himachal,Kinnaur,508.42,0.50842
1999,Himachal,Kullu,746.83,0.74683
2000,Himachal,Kullu,886.95,0.88695
2001,Himachal,Kullu,994.03,0.99403
2002,Himachal,Kullu,1156.27,1.15627
2003,Himachal,Kullu,1313.47,1.31347
2004,Himachal,Kullu,1587.02,1.58702
2005,Himachal,Kullu,1741.67,1.74167
1999,Himachal,Lahaul.and.Spiti,229.43,0.22943
2000,Himachal,Lahaul.and.Spiti,215.85,0.21585
2001,Himachal,Lahaul.and.Spiti,223.53,0.22353
2002,Himachal,Lahaul.and.Spiti,304.68,0.30468
2003,Himachal,Lahaul.and.Spiti,268.36,0.26836
2004,Himachal,Lahaul.and.Spiti,290.26,0.29026
2005,Himachal,Lahaul.and.Spiti,301.12,0.30112
1999,Himachal,Mandi,1580.79,1.58079
2000,Himachal,Mandi,1753.53,1.75353
2001,Himachal,Mandi,2058.02,2.05802
2002,Himachal,Mandi,2077.79,2.07779
2003,Himachal,Mandi,2340.81,2.34081
2004,Himachal,Mandi,2507.78,2.50778
2005,Himachal,Mandi,2795.85,2.79585
1999,Himachal,Shimla,1852.85,1.85285
2000,Himachal,Shimla,2214.37,2.21437
2001,Himachal,Shimla,2229.52,2.22952
2002,Himachal,Shimla,2623.21,2.62321
2003,Himachal,Shimla,2995.48,2.99548
2004,Himachal,Shimla,3294.37,3.29437
2005,Himachal,Shimla,3640.33,3.64033
1999,Himachal,Sirmaur,1097.2,1.0972
2000,Himachal,Sirmaur,1180.07,1.18007
2001,Himachal,Sirmaur,1243.11,1.24311
2002,Himachal,Sirmaur,1358.85,1.35885
2003,Himachal,Sirmaur,1417.56,1.41756
2004,Himachal,Sirmaur,1688.08,1.68808
2005,Himachal,Sirmaur,1800.6,1.8006
1999,Himachal,Solan,2056.52,2.05652
2000,Himachal,Solan,2334.75,2.33475
2001,Himachal,Solan,2522.08,2.52208
2002,Himachal,Solan,2747.36,2.74736
2003,Himachal,Solan,3035.31,3.03531
2004,Himachal,Solan,3414.07,3.41407
2005,Himachal,Solan,3679.43,3.67943
1999,Himachal,Una,1016.29,1.01629
2000,Himachal,Una,1073,1.073
2001,Himachal,Una,1156.16,1.15616
2002,Himachal,Una,1320.5,1.3205
2003,Himachal,Una,1374.61,1.37461
2004,Himachal,Una,1486.66,1.48666
2005,Himachal,Una,1793.23,1.79323
1999,Jharkhand,Bokaro,2546.86,2.54686
2000,Jharkhand,Bokaro,2344.3,2.3443
2001,Jharkhand,Bokaro,2436.6,2.4366
2002,Jharkhand,Bokaro,2796.23,2.79623
2003,Jharkhand,Bokaro,3115.92,3.11592
2004,Jharkhand,Bokaro,3794.95,3.79495
2005,Jharkhand,Bokaro,4196.49,4.19649
1999,Jharkhand,Chatra,660.17,0.66017
2000,Jharkhand,Chatra,606.97,0.60697
2001,Jharkhand,Chatra,688.55,0.68855
2002,Jharkhand,Chatra,738.97,0.73897
2003,Jharkhand,Chatra,837.98,0.83798
2004,Jharkhand,Chatra,999.76,0.99976
2005,Jharkhand,Chatra,1043.55,1.04355
1999,Jharkhand,Deoghar,1476.11,1.47611
2000,Jharkhand,Deoghar,1283.27,1.28327
2001,Jharkhand,Deoghar,1365.36,1.36536
